"blockid","mpo","town","infra_rank","safety_rank","access_rank","afford_rank","env_rank","tis"
250277544004,"Central Massachusetts","WEBSTER",0.21882951653944022,0.851145038167939,0.01272264631043257,0.22391857506361323,0.9720101781170484,2.2786259541984735
250277542001,"Central Massachusetts","WEBSTER",0.138676844783715,0.48346055979643765,0.22010178117048346,0.6259541984732824,0.24173027989821882,1.7099236641221374
250277543003,"Central Massachusetts","WEBSTER",0.6577608142493638,0.549618320610687,0.002544529262086514,0.21882951653944016,0.8015267175572519,2.2302798982188294
250277551002,"Central Massachusetts","DUDLEY",0.20737913486005088,0.306615776081425,0.1297709923664122,0.5788804071246819,0.6793893129770993,1.9020356234096694
250277542002,"Central Massachusetts","WEBSTER",0.3905852417302799,0.7379134860050891,0.05343511450381679,0.5597964376590331,0.8371501272264631,2.578880407124682
250277543002,"Central Massachusetts","WEBSTER",0.7430025445292621,0.2557251908396947,0.035623409669211195,0.6234096692111959,0.7964376590330788,2.4541984732824424
250277541004,"Central Massachusetts","WEBSTER",0.02544529262086514,0.24045801526717558,0.3244274809160305,0.5432569974554707,0.20356234096692116,1.337150127226463
250277551001,"Central Massachusetts","DUDLEY",0.007633587786259542,0.7544529262086515,0.22519083969465647,0.5394402035623409,0.5623409669211196,2.0890585241730277
250277544003,"Central Massachusetts","WEBSTER",0.26717557251908397,0.851145038167939,0.010178117048346057,0.6208651399491094,0.9821882951653944,2.731552162849873
250010121015,"Cape Cod","YARMOUTH",0.08205128205128205,0.5307692307692308,0.020512820512820513,0.7282051282051283,0.7589743589743589,2.1205128205128205
250010121014,"Cape Cod","YARMOUTH",0.11538461538461539,0.30512820512820515,0.05128205128205128,0.6,0.8923076923076922,1.964102564102564
250056131001,"Southeastern Massachusetts","TAUNTON",0.40465631929046564,0.4312638580931264,0.43902439024390244,0.5798226164079823,0.4900221729490022,2.344789356984479
250056304001,"Southeastern Massachusetts","NORTH ATTLEBOROUGH",0.20842572062084258,0.23059866962305986,0.43015521064301554,0.5709534368070954,0.04656319290465627,1.4866962305986697
250056301021,"Southeastern Massachusetts","NORTH ATTLEBOROUGH",0.07206208425720621,0.4079822616407982,0.1419068736141907,0.8248337028824834,0.6563192904656319,2.1031042128603104
250056532041,"Southeastern Massachusetts","DARTMOUTH",0.1197339246119734,0.46784922394678496,0.565410199556541,0.29933481152993346,0.31263858093126384,1.7649667405764968
250010126024,"Cape Cod","BARNSTABLE",0.8307692307692308,0.7538461538461538,0.005128205128205128,0.841025641025641,0.9179487179487179,3.348717948717949
250010126023,"Cape Cod","BARNSTABLE",0.30256410256410254,0.782051282051282,0.015384615384615385,0.8358974358974359,0.9487179487179487,2.884615384615384
250010139003,"Cape Cod","BOURNE",0.11538461538461539,0.41538461538461535,0.4564102564102564,0.8897435897435897,0.29230769230769227,2.169230769230769
250010139004,"Cape Cod","BOURNE",0.7230769230769231,0.00512820512820511,0.5025641025641026,0.8897435897435897,0.09743589743589742,2.217948717948718
250010147001,"Cape Cod","FALMOUTH",0.49743589743589745,0.5307692307692308,0.041025641025641026,0.941025641025641,0.8871794871794871,2.8974358974358974
250010148004,"Cape Cod","FALMOUTH",0.8153846153846154,0.14102564102564108,0.035897435897435895,0.9128205128205128,0.7384615384615385,2.6435897435897435
250010148003,"Cape Cod","FALMOUTH",0.7333333333333333,0.09230769230769231,0.03076923076923077,0.9871794871794872,0.7846153846153846,2.628205128205128
250010148001,"Cape Cod","FALMOUTH",0.4358974358974359,0.30512820512820515,0.010256410256410256,0.9871794871794872,0.9333333333333333,2.671794871794872
250010137001,"Cape Cod","BOURNE",0.5076923076923077,0.05641025641025643,0.5538461538461539,0.6102564102564103,0.02051282051282055,1.7487179487179487
250010149004,"Cape Cod","FALMOUTH",0.3871794871794872,0.6923076923076923,0.2358974358974359,0.941025641025641,0.4461538461538461,2.7025641025641027
250010149003,"Cape Cod","FALMOUTH",0.658974358974359,0.10769230769230764,0.02564102564102564,0.9615384615384616,0.882051282051282,2.635897435897436
250235091013,"Old Colony","KINGSTON",0.08870967741935484,0.48991935483870963,0.125,0.1875,0.14919354838709675,1.0403225806451613
250235091025,"Old Colony","KINGSTON",0.024193548387096774,0.16733870967741937,0.09274193548387097,0.44758064516129037,0.10483870967741937,0.8366935483870969
250235423023,"Southeastern Massachusetts","MIDDLEBOROUGH",0.37028824833702884,0.11419068736141902,0.4279379157427938,0.24168514412416853,0.22616407982261644,1.3802660753880267
250235302001,"Old Colony","PLYMOUTH",0.1774193548387097,0.6713709677419355,0.05040322580645161,0.9758064516129032,0.375,2.25
250235116021,"Old Colony","BROCKTON",0.24193548387096775,0.06854838709677424,0.7137096774193549,0.16733870967741937,0.6008064516129032,1.7923387096774197
250235116023,"Old Colony","BROCKTON",0.056451612903225805,0.2641129032258065,0.20967741935483872,0.15927419354838712,0.8830645161290323,1.5725806451612905
250235614002,"Old Colony","BRIDGEWATER",0.625,0.19758064516129037,0.5161290322580645,0.532258064516129,0.342741935483871,2.213709677419355
250235614003,"Old Colony","BRIDGEWATER",0.10080645161290322,0.8286290322580645,0.34274193548387094,0.5282258064516129,0.6612903225806452,2.461693548387097
250235423022,"Southeastern Massachusetts","MIDDLEBOROUGH",0.02771618625277162,0.20509977827050996,0.29490022172949004,0.23946784922394682,0.08203991130820398,0.8492239467849224
250239803001,"Old Colony","BRIDGEWATER",0.45564516129032256,0.9233870967741935,0.20161290322580644,0.5241935483870968,0.842741935483871,2.94758064516129
