blockid,town,mpo,bikefacility_p,sidewalk_p,potential,crash_count,risk_ratio,cd_sum,job_mean,tcost_p,vmt_sum,hcost_p
250277544004,WEBSTER,Central Massachusetts,0,0.626017641434544,242.13393086822137,1,0,4844,NA,NA,5626476.372377132,0.9663481863532596
250277542001,WEBSTER,Central Massachusetts,0,0.305214403439292,2750.180868537747,2,0.06818181818181818,34857,NA,0.19,137672156.99873784,0.9663481863532596
250277543003,WEBSTER,Central Massachusetts,0,0.728218780157246,5441.17664919674,1,0.08333333333333333,3378,NA,NA,17537298.024010666,0.9663481863532596
250277551002,DUDLEY,Central Massachusetts,0.00973023228613052,0.239024959654662,20.246616009952174,4,0.07142857142857142,16867,NA,0.21,27588748.592280887,0.33829900433229465
250277542002,WEBSTER,Central Massachusetts,0,0.488565916065151,3898.592968919294,0,0.08333333333333333,8565,NA,0.22,14548538.764868509,0.9663481863532596
250277543002,WEBSTER,Central Massachusetts,0,0.942396119964849,5351.002534320148,3,0.08333333333333333,5353,NA,0.19,17974004.80057904,0.9663481863532596
250277541004,WEBSTER,Central Massachusetts,0,0.207874730428573,1061.6543215475244,5,0.07692307692307693,56270.99999999999,NA,0.23,162795017.7977673,0.9663481863532596
250277551001,DUDLEY,Central Massachusetts,0,0.136365511564366,165.18335863031245,1,0.05,34036.00000000001,NA,0.23,41488894.8565086,0.33829900433229465
250277544003,WEBSTER,Central Massachusetts,0,0.566625411411204,1557.381053847143,1,0,4059,NA,0.19,4717391.375900091,0.9663481863532596
250010121015,YARMOUTH,Cape Cod,0,0.0949073775310038,141.37470590251118,0,0.09090909090909091,9513.999999999998,NA,0.23,45071575.572158314,1.031296132270446
250010121014,YARMOUTH,Cape Cod,0,0.0900435515506687,1927.5872088156862,1,0.09375,11754.000000000002,NA,0.24,38160980.141248815,1.031296132270446
250056131001,TAUNTON,Southeastern Massachusetts,0,0.492942680181641,5319.259785993788,3,0.0625,120029.00000000003,141.7700784895132,0.25,45310578.292406335,0.6150399376582895
250056304001,NORTH ATTLEBOROUGH,Southeastern Massachusetts,0,0.176205125683838,9984.736403103569,3,0.09,242402.0000000001,84.29475443669337,0.26,630377766.6970046,0.6068063279002875
250056301021,NORTH ATTLEBOROUGH,Southeastern Massachusetts,0,0.276338293831036,1508.0384478742062,2,0.08333333333333333,45360.99999999999,112.10107145371067,0.2,27196699.160357952,0.6068063279002875
250056532041,DARTMOUTH,Southeastern Massachusetts,0.129215922996099,0.0367536133620053,707.210291079749,1,0.1,201525.0000000001,NA,0.3,92540600.62215553,0.7258064516129032
250010126024,BARNSTABLE,Cape Cod,0.122624894344798,0.113734767039331,3543.6458913003407,1,0.05,6177,NA,0.22,34546216.04428745,0.3761467889908256
250010126023,BARNSTABLE,Cape Cod,0,0.115288271875794,5856.537377742641,1,0.041666666666666664,7292.999999999999,NA,0.22,25743044.836498696,0.3761467889908256
250010139003,BOURNE,Cape Cod,0,0.0935166238073696,1569.163314758807,1,0.07954545454545454,90213.99999999994,NA,0.23,102615467.88649091,0.5469613259668509
250010139004,BOURNE,Cape Cod,0.112284231320432,0.0456543833894607,17780.031974711535,8,0.11666666666666667,188466.00000000003,NA,0.23,309226400.2430784,0.5469613259668509
250010147001,FALMOUTH,Cape Cod,0.00464514145619908,0.181255143350985,1035.8941644175989,0,0.09090909090909091,10087.999999999996,NA,0.21,38261417.16892216,1.0333561800319853
250010148004,FALMOUTH,Cape Cod,0.0157163566412863,0.353140458441906,9503.88456423369,2,0.1,9160,NA,0.22,46307978.32441621,1.0333561800319853
250010148003,FALMOUTH,Cape Cod,0.0114044400584658,0.235311459176877,7641.777002667573,6,0.08333333333333333,8832.999999999998,NA,0.17,44105762.36690364,1.0333561800319853
250010148001,FALMOUTH,Cape Cod,0,0.47293699536088,3341.537994192913,1,0.09375,5038.000000000001,NA,0.17,30213410.869418256,1.0333561800319853
250010137001,BOURNE,Cape Cod,0.0647407784589868,0.0915000801041678,0.6710869550441134,8,0.08333333333333333,253826.00000000012,NA,0.25,508609667.6838814,0.5469613259668509
250010149004,FALMOUTH,Cape Cod,0.0753930025339733,0.0174361461946784,9185.230491495706,1,0.056818181818181816,30940.99999999998,NA,0.21,71139192.9079194,1.0333561800319853
250010149003,FALMOUTH,Cape Cod,1.84623136843096e-6,0.291788535203844,6577.537572802449,2,0.1111111111111111,7116,NA,0.2,38270979.65814724,1.0333561800319853
250235091013,KINGSTON,Old Colony,0,0.298427273461753,340.65076850390864,3,0.05555555555555555,76892.99999999999,102.59425695792791,0.24,150091557.25831366,0.3907885709226922
250235091025,KINGSTON,Old Colony,0,0.167467371280679,623.2036412086787,5,0.09375,50863.00000000001,107.82153525727352,0.21,259737256.06141928,0.3907885709226922
250235423023,MIDDLEBOROUGH,Southeastern Massachusetts,0,0.507193946901652,4608.040567521443,4,0.1,95967,NA,NA,160868213.56452426,0.7208450437363817
250235302001,PLYMOUTH,Old Colony,0,0.482417145294068,248.01835633318132,1,0.07142857142857142,34254,79.41931855854163,0.18,75034036.01113468,0.6524398422619846
250235116021,BROCKTON,Old Colony,0,0.324919457696939,3541.2038908089535,9,0.1111111111111111,209675.99999999997,218.69884043498064,NA,46518810.49238955,0.8337856671312258
250235116023,BROCKTON,Old Colony,0,0.272192775010834,0.015840454299166553,4,0.08333333333333333,33570,233.46594700167992,NA,19270425.129144356,0.8337856671312258
250235614002,BRIDGEWATER,Old Colony,0,0.616131880350383,4050.4281467231367,4,0.09375,174387.00000000006,181.05721369386472,NA,80198953.05216187,0.7995594713656385
